age,income,data_usage,budget,international_calls,high_speed_internet,plan_id
56,1458,8,67,0,0,4
69,3344,10,84,0,1,4
46,1522,17,113,0,1,4
32,721,12,44,0,0,3
60,4500,7,81,0,1,2
25,3003,14,116,0,1,4
38,8047,10,91,1,1,4
56,12784,6,111,1,1,3
75,19718,16,24,0,1,3
36,3750,8,103,0,1,4
40,5952,10,83,1,1,4
28,3950,14,67,0,1,4
28,293,4,94,0,1,2
41,10259,13,29,1,1,3
70,5145,13,38,0,1,3
53,5214,7,126,0,1,2
57,1785,13,85,1,1,4
41,1567,15,139,0,1,4
20,2785,7,24,0,1,1
39,5207,5,124,0,1,2
70,423,9,147,0,1,4
19,3648,17,25,0,1,3
41,16130,11,67,0,0,4
61,2614,9,114,0,1,4
47,411,7,71,1,1,3
55,2468,11,49,0,1,3
19,4003,13,90,0,1,4
38,4341,14,70,0,0,4
50,3479,11,126,0,1,4
29,20665,10,143,0,1,4
75,3431,13,58,0,1,4
39,3611,8,41,0,1,3
61,1687,12,135,0,1,4
42,7664,17,123,0,0,4
66,16269,14,90,1,1,4
44,1590,5,95,1,0,3
59,2674,9,91,0,1,4
45,291,8,59,1,0,4
33,1291,9,75,0,0,4
32,21361,16,129,1,1,4
64,2214,5,74,0,0,1
68,3740,16,145,0,1,4
61,1438,7,108,0,1,2
72,4664,10,81,1,1,4
69,2503,13,82,0,1,4
74,4495,11,25,1,1,3
20,3309,13,147,1,1,4
54,12623,8,24,0,1,3
68,3528,10,143,0,1,4
24,1294,8,133,0,0,4
38,1577,7,72,0,0,1
26,460,8,60,0,1,4
56,3379,12,146,1,1,4
35,2797,9,56,0,1,4
21,13538,12,65,0,1,4
42,922,13,109,0,1,4
31,1483,9,106,0,1,4
67,1499,9,63,1,1,4
75,2313,13,127,0,1,4
26,844,9,94,0,1,4
43,2256,10,91,1,1,4
70,3037,6,99,0,1,2
19,3129,5,93,0,1,2
37,10650,16,98,0,1,4
45,2893,8,53,0,0,4
64,2825,7,60,0,1,2
24,9368,10,100,0,1,4
61,2974,9,52,0,0,4
25,883,6,88,0,1,2
64,1014,10,126,0,1,4
52,1024,11,116,0,0,4
31,881,13,84,0,0,4
34,21988,13,57,0,0,4
53,1020,9,147,0,1,4
67,2859,11,79,0,1,4
57,3149,13,29,1,0,3
21,2497,11,38,1,0,3
19,1366,10,36,1,1,3
23,4699,8,93,0,0,4
71,649,8,45,0,1,3
59,1026,7,32,0,1,2
21,9153,7,113,0,1,2
71,994,6,62,1,1,3
46,10911,5,69,0,1,2
35,11883,5,119,0,1,2
43,12121,13,28,1,1,3
61,6931,12,141,1,1,4
51,750,8,91,1,0,4
27,640,14,87,0,1,4
53,972,9,115,1,1,4
31,1150,7,114,0,0,1
48,812,13,123,0,1,4
65,1504,9,62,0,1,4
32,6435,16,129,0,1,4
25,5715,13,111,1,1,4
31,4006,9,115,1,1,4
40,2404,10,83,0,1,4
74,2784,7,64,0,0,1
57,4028,8,148,0,1,4
38,1857,10,66,0,0,4
33,7921,8,72,0,1,4
62,800,7,63,1,0,3
35,1370,6,68,0,1,2
64,1181,11,128,0,1,4
70,4710,11,139,1,1,4
41,897,5,80,1,1,3
43,1191,10,49,0,1,3
42,4556,9,108,0,1,4
62,1250,21,122,1,0,4
58,6892,12,105,0,1,4
46,6732,6,125,0,0,1
32,1740,11,52,0,1,4
62,3386,10,33,1,1,3
18,23373,11,102,0,1,4
42,7130,11,51,0,0,4
24,4886,4,63,0,0,1
26,14070,12,73,1,1,4
41,1137,13,107,0,1,4
18,10465,12,121,0,1,4
61,4253,12,37,1,1,3
25,12799,7,119,0,1,2
41,1768,9,59,1,1,4
28,11997,11,102,0,1,4
68,522,14,102,1,1,4
34,2046,8,122,0,1,4
25,3915,9,133,0,1,4
52,5749,11,124,0,1,4
52,367,1,33,1,1,2
50,857,6,26,1,0,1
22,1008,11,88,0,1,4
59,1169,5,44,0,1,2
56,1407,8,115,0,1,4
75,3514,11,95,1,1,4
58,13046,7,27,0,1,1
45,2048,13,136,0,1,4
24,13985,9,68,0,0,4
26,3244,12,89,1,1,4
25,2406,5,82,1,1,3
29,8477,6,123,1,1,3
51,2550,7,31,0,1,2
50,1363,8,67,0,1,4
65,11227,6,28,1,1,1
72,2868,11,93,0,1,4
40,17873,8,99,0,0,4
41,2090,12,35,0,1,3
54,787,13,126,1,1,4
52,1380,8,36,1,1,3
61,1524,15,52,0,1,4
57,2709,5,123,0,1,2
39,1347,3,51,0,1,2
44,851,15,139,0,0,4
52,2158,5,98,0,1,2
18,3266,19,60,0,1,4
52,4499,12,57,0,0,4
54,2931,9,32,0,1,3
64,11686,6,99,0,1,2
31,3169,11,96,1,1,4
20,335,6,100,0,1,2
18,3829,8,87,0,0,4
22,3003,8,51,0,1,4
43,6218,11,72,0,1,4
72,973,13,67,0,1,4
31,8616,7,128,0,1,2
56,3892,9,97,0,1,4
44,3413,9,21,0,1,3
26,7619,10,92,0,1,4
32,9504,6,134,1,1,3
32,8621,12,112,0,1,4
43,285,8,48,1,1,3
59,718,7,79,1,1,3
30,1920,5,94,0,1,2
68,907,5,31,0,1,2
49,1487,11,135,0,1,4
56,2832,3,47,1,1,2
66,1863,10,111,0,1,4
69,2910,13,63,0,1,4
49,11611,13,77,0,0,4
21,17689,5,146,0,1,2
47,4329,12,126,0,1,4
54,11327,14,36,0,1,3
40,2000,15,144,1,1,4
56,1595,11,59,0,1,4
62,2765,10,101,1,1,4
32,2181,9,31,0,1,3
60,5858,15,22,1,1,3
46,3024,10,23,0,1,3
53,13483,15,83,0,1,4
30,3359,9,25,0,1,3
49,1469,7,143,0,1,2
24,1857,10,44,0,1,3
68,1645,9,29,1,1,3
39,6192,7,63,1,0,3
45,2683,7,93,0,1,2
19,3355,9,114,0,1,4
59,4529,9,148,0,1,4
62,5111,10,136,0,1,4
74,8586,13,67,1,1,4
70,4171,9,119,1,1,4
23,1142,17,96,0,1,4
45,1832,9,93,0,1,4
45,1831,7,62,0,1,2
61,1439,17,40,1,1,3
61,8416,15,73,0,1,4
37,2569,5,44,0,1,2
47,3563,10,117,1,0,4
28,4164,15,148,0,1,4
75,3674,11,101,0,1,4
72,4064,11,109,1,1,4
45,33123,6,39,0,1,2
42,5862,14,141,0,1,4
56,1187,7,39,1,1,2
50,4090,13,63,0,1,4
18,3313,9,123,1,1,4
74,743,15,116,0,0,4
44,274,9,96,0,1,4
74,3434,12,68,1,0,4
69,2252,9,41,1,1,3
30,944,9,53,0,1,4
58,1735,10,69,1,0,4
20,2300,4,128,1,1,3
56,1664,11,78,1,1,4
23,3911,6,86,1,1,3
25,3552,15,29,0,0,3
44,6625,7,144,0,0,1
26,9481,10,89,0,0,4
54,5677,8,73,0,1,4
50,1507,16,124,0,1,4
68,3527,10,70,0,1,4
59,598,12,149,0,1,4
61,1853,14,69,0,0,4
41,235,10,48,0,1,3
32,2095,4,146,0,1,2
71,1745,7,69,0,1,2
49,5949,11,95,1,1,4
49,1133,11,56,0,1,4
41,3536,13,106,1,0,4
58,2041,9,22,1,1,3
69,1948,11,51,0,0,4
66,1381,18,92,0,0,4
66,4025,12,50,1,1,4
75,2537,9,45,0,1,3
69,1144,11,124,1,1,4
29,3401,7,42,0,1,2
56,4049,14,75,0,1,4
19,13735,3,26,1,1,1
20,1667,7,90,0,1,2
66,2022,11,53,1,1,4
54,819,11,42,1,1,3
66,1905,9,56,0,1,4
73,1032,17,48,0,1,3
34,8991,11,139,1,1,4
66,4985,6,65,1,1,3
19,1015,7,49,0,1,2
19,1122,6,80,1,1,3
45,1716,11,62,0,1,4
71,10919,12,114,1,1,4
40,1619,10,60,0,0,4
54,2501,6,54,0,1,2
49,13811,7,64,1,1,3
